,Unnamed: 0,id,path_from_root,path_from_root_id,name,total_items_in_this_category
2064,2064,MLC439946,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Agujas', 'De Bordar']","['MLC1368', 'MLC179312', 'MLC179314', 'MLC439946']",De Bordar,13506
2065,2065,MLC439948,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Agujas', 'De Coser']","['MLC1368', 'MLC179312', 'MLC179314', 'MLC439948']",De Coser,10277
2066,2066,MLC439945,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Agujas', 'De Tejer']","['MLC1368', 'MLC179312', 'MLC179314', 'MLC439945']",De Tejer,20003
2067,2067,MLC439947,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Agujas', 'Otras']","['MLC1368', 'MLC179312', 'MLC179314', 'MLC439947']",Otras,43
2068,2068,MLC440022,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Anilinas']","['MLC1368', 'MLC179312', 'MLC440022']",Anilinas,685
2069,2069,MLC439941,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Artículos para Bisutería', 'Canutillos']","['MLC1368', 'MLC179312', 'MLC436810', 'MLC439941']",Canutillos,3148
2070,2070,MLC439942,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Artículos para Bisutería', 'Cierres']","['MLC1368', 'MLC179312', 'MLC436810', 'MLC439942']",Cierres,3793
2071,2071,MLC432155,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Artículos para Bisutería', 'Kits para Hacer Pulseras']","['MLC1368', 'MLC179312', 'MLC436810', 'MLC432155']",Kits para Hacer Pulseras,32261
2072,2072,MLC439943,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Artículos para Bisutería', 'Mostacillas']","['MLC1368', 'MLC179312', 'MLC436810', 'MLC439943']",Mostacillas,10324
2073,2073,MLC436811,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Artículos para Bisutería', 'Otros']","['MLC1368', 'MLC179312', 'MLC436810', 'MLC436811']",Otros,1243
2074,2074,MLC416582,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Barras de Silicona']","['MLC1368', 'MLC179312', 'MLC416582']",Barras de Silicona,336
2075,2075,MLC416874,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Bolsas de Silicagel']","['MLC1368', 'MLC179312', 'MLC416874']",Bolsas de Silicagel,98
2076,2076,MLC455695,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Cadenas']","['MLC1368', 'MLC179312', 'MLC455695']",Cadenas,89
2077,2077,MLC429159,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Calzadores de Medias']","['MLC1368', 'MLC179312', 'MLC429159']",Calzadores de Medias,78
2078,2078,MLC440027,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Cintas']","['MLC1368', 'MLC179312', 'MLC440027']",Cintas,13940
