meli_item_id,sold_quantity
MLC436494264,471
MLC620791862,377
MLC521154522,314
MLC521154517,318
MLC444379441,496
MLC545775587,291
MLC433557509,309
MLC606385205,542
MLC454749738,256
MLC433697326,916
MLC529227310,259
MLC495602959,315
MLC519809725,257
MLC612061241,263
MLC525024042,579
MLC573717917,464
MLC560247850,408
MLC435191287,424
MLC528790417,444
MLC520508503,1113
MLC565952868,302
MLC529653165,310
MLC612736080,373
MLC560453011,1527
MLC552496793,271
MLC486734320,263
MLC636901411,266
MLC598848229,349
MLC559978875,543
MLC537113215,364
MLC488767652,2157
MLC577061928,297
MLC508047341,689
MLC434570089,803
MLC562851382,384
MLC909240534,637
MLC536935635,466
MLC465941590,1603
MLC540589143,509
MLC519964447,839
MLC561786487,434
MLC586499336,642
MLC552063300,287
MLC624249068,587
MLC966987048,425
MLC614684843,298
MLC551848261,502
MLC543526442,267
MLC607216563,277
MLC533673746,444
MLC578738529,259
MLC544859920,1141
MLC536648468,432
MLC571372423,265
MLC636016049,445
MLC549200948,399
MLC551832052,1707
MLC930944667,457
MLC592552042,261
MLC559768296,440
MLC535534307,337
MLC931406324,388
MLC443527996,1331
MLC464429652,312
MLC462847641,323
MLC581604624,257
MLC616629600,315
MLC632112820,435
MLC559557117,272
MLC473999197,948
MLC563768173,753
MLC550382589,1110
MLC624385563,491
MLC532380341,371
MLC553229242,652
MLC530851386,422
MLC433794309,353
MLC595109087,674
MLC474000594,289
MLC534144891,338
MLC530851578,444
MLC474001201,421
MLC615358399,271
MLC922659571,252
MLC474001140,644
MLC499685181,904
MLC541879058,357
MLC499684219,577
MLC642340095,446
MLC474000378,502
MLC505682461,260
MLC642339808,262
MLC618101400,259
MLC534188543,372
MLC534188558,377
MLC534188521,324
MLC516889153,968
MLC528860320,458
MLC551507535,393
MLC472369736,480
MLC620731920,413
MLC480426648,321
MLC523202788,275
MLC474896777,300
MLC533994979,443
MLC575342761,368
MLC534188549,291
MLC611533351,589
MLC583030877,399
MLC470273250,364
MLC928908593,459
MLC491239405,341
MLC553230240,362
MLC595489699,486
MLC547837043,311
MLC532096148,336
MLC466001924,305
MLC519977690,393
MLC542274740,323
MLC542278422,387
MLC641551763,277
MLC570739016,296
MLC497783904,321
MLC497964945,627
MLC536948659,332
MLC533851837,324
MLC594464906,265
MLC560324639,266
MLC492404327,297
MLC613894751,301
MLC480224637,342
MLC583252677,535
MLC525281589,1185
MLC600808435,448
MLC493659787,544
MLC448468418,290
MLC441928856,279
MLC636991364,917
MLC502011473,736
MLC467220915,349
MLC532037190,253
MLC593473533,286
MLC937471498,281
MLC532037104,315
MLC466843760,406
MLC520673366,324
MLC493657667,380
MLC593965487,335
MLC466842794,544
MLC565306071,557
MLC477731380,395
MLC565333422,280
MLC519335922,401
MLC532794395,276
MLC614664681,524
MLC913312732,267
MLC477032680,309
MLC906306634,306
MLC604938882,1369
MLC434395063,477
MLC612069998,520
MLC538388652,260
MLC593965203,270
MLC541879299,251
MLC435000966,301
MLC441433306,2364
MLC620398344,654
MLC566838905,1112
MLC540432327,327
MLC582581596,429
MLC930723571,265
MLC533976744,370
MLC615094344,361
MLC541879209,782
MLC577407841,347
MLC564642358,345
MLC536510963,428
MLC947044052,1304
MLC541433430,2033
MLC561269989,1809
MLC615670313,348
MLC580300320,1394
MLC508338618,743
MLC472003846,3309
MLC516439192,3299
MLC542257856,550
MLC458941372,576
MLC562425747,431
MLC555022996,831
MLC497541224,258
MLC567115640,2224
MLC501511679,413
MLC452250177,338
MLC535935523,527
MLC508265164,437
MLC484681574,425
MLC473445030,730
MLC475188371,782
MLC973635722,315
MLC979412600,292
MLC976689071,767
MLC601957260,254
MLC974022329,326
MLC567722071,461
MLC549988190,825
MLC496739776,740
MLC496739990,345
MLC515830643,257
MLC477640116,254
MLC494384237,1020
MLC608111030,489
MLC568462686,782
MLC507783022,657
MLC553414819,401
MLC494445942,292
MLC550430363,359
MLC519577409,308
MLC448900106,307
MLC455043748,326
MLC439818870,499
MLC552535932,267
MLC607450057,296
MLC589404943,403
MLC587986943,464
MLC597818534,287
MLC949603008,936
MLC587911737,588
MLC562452647,3536
MLC569166604,1128
MLC581356062,286
MLC955769336,274
MLC553985013,725
MLC451415708,1072
MLC590560016,695
MLC517537966,685
MLC922843515,324
MLC540857332,537
MLC442331339,779
MLC491186109,500
MLC514879757,761
MLC506914973,312
MLC580560672,329
MLC626282337,256
MLC539567104,330
MLC498999071,1492
MLC511594335,304
MLC436904466,276
MLC468509452,314
MLC494045025,412
MLC494048514,543
MLC511189996,332
MLC535348743,297
MLC457712030,290
MLC434997794,372
MLC513847293,271
MLC937315412,1389
MLC905659775,1431
MLC1002116263,365
MLC522740571,716
MLC554200263,1092
MLC940073902,381
MLC480983635,318
MLC562719247,880
MLC926348380,731
MLC546978877,742
MLC523995121,257
MLC552720750,903
MLC462341094,551
MLC523995142,403
MLC492130555,285
MLC553161632,529
MLC441341552,393
MLC606749300,363
MLC600513052,413
MLC472693523,409
MLC952835818,279
MLC935765405,464
MLC936994135,586
MLC916362730,538
MLC515102050,905
MLC933622066,953
MLC560015228,479
MLC567190448,822
MLC560015279,454
MLC938549991,381
MLC560015289,379
MLC506648864,1177
MLC930491855,253
MLC641401495,397
MLC917417620,262
MLC639569225,287
MLC926405287,730
MLC940341267,341
MLC472258670,540
MLC468533769,839
MLC921765170,1088
MLC536856199,885
MLC455471785,430
MLC529229227,1055
MLC540240974,263
MLC572954232,3072
MLC513863363,660
MLC538894199,1193
MLC437108162,274
MLC527223466,429
MLC489106989,324
MLC565530601,2118
MLC533839674,681
MLC582579193,333
MLC577454968,600
MLC548160241,434
MLC592563211,749
MLC946523441,290
MLC935546907,314
MLC612265453,360
MLC519749327,1381
MLC578378227,270
MLC566220564,572
MLC536253727,346
MLC934216672,335
MLC499984564,295
MLC518941187,958
MLC503011805,281
MLC466934573,488
MLC511602407,770
MLC636878789,713
MLC615897773,296
MLC518941155,473
MLC503014783,343
MLC912427405,279
MLC534305507,279
MLC926324194,319
MLC522400372,317
MLC971719496,268
MLC535930301,291
MLC538395917,585
MLC620654293,377
MLC622522758,275
MLC535930143,1030
MLC503014957,600
MLC491905487,374
MLC598833554,261
MLC570763793,334
MLC635681966,346
MLC633967650,545
MLC624040379,307
MLC526031988,283
MLC949602915,342
MLC616962208,299
MLC538509710,271
MLC610074468,359
MLC497779543,538
MLC545704762,431
MLC435307160,608
MLC563066952,267
MLC520059728,325
MLC478667936,445
MLC455489240,491
MLC471038234,387
MLC637296755,475
MLC625142669,283
MLC554352894,342
MLC563402318,370
MLC523504477,260
MLC522986336,266
MLC523199065,472
MLC453903880,291
MLC551508800,579
MLC924247466,639
MLC463412414,527
MLC492798833,1405
MLC559763522,420
MLC521698768,839
MLC560478431,390
MLC469366495,287
MLC463412220,333
MLC463412202,928
MLC463441472,572
MLC475296993,287
MLC924208964,588
MLC473466205,324
MLC463441510,521
MLC455977381,251
MLC461640357,567
MLC464007375,4214
MLC464007507,346
MLC440679879,595
MLC440437381,553
MLC468931420,278
MLC904426513,338
MLC561023429,344
MLC930275024,378
MLC582649802,308
MLC544572589,307
MLC547747217,525
MLC458859981,1278
MLC443206629,505
MLC446839331,888
MLC494751669,281
MLC594469066,1201
MLC642437285,355
MLC455558867,1080
MLC573689806,912
MLC434506636,1868
MLC462919452,264
MLC436011725,986
MLC617280455,263
MLC573666529,314
MLC462117566,277
MLC555242024,257
MLC614326513,289
MLC462778621,330
MLC455098280,416
MLC458859918,786
MLC462980446,423
MLC612968593,532
MLC475140368,299
MLC518422390,502
MLC456664506,704
MLC448698976,444
MLC436688082,606
MLC449147462,1342
MLC503429755,501
MLC441062841,309
MLC539789996,443
MLC456699747,358
MLC463183274,402
MLC448663226,709
MLC448734219,572
MLC448658536,528
MLC519576997,436
MLC451389180,438
MLC529484694,544
MLC448742518,1124
MLC462989411,397
MLC436213269,322
MLC502282734,304
MLC434870896,403
MLC458256844,252
MLC457317790,893
MLC612376134,388
MLC448707162,311
MLC446572681,270
MLC443206608,435
